Number	Offset	Address		Size	Type	String
15124	0038e8fc	0078e8fc	Section(1)['.rdata']	07	A	summary
15125	0038e904	0078e904	Section(1)['.rdata']	0d	A	ExplorerOrder
15126	0038e914	0078e914	Section(1)['.rdata']	12	A	ExplorerImageIndex
15127	0038e928	0078e928	Section(1)['.rdata']	07	A	Render2
15128	0038e94c	0078e94c	Section(1)['.rdata']	0e	A	RenderSettings
15129	0038ec54	0078ec54	Section(1)['.rdata']	1a	A	Styles\Office2007.cjstyles
15130	0038ed44	0078ed44	Section(1)['.rdata']	09	A	AASamples
15131	0038ef73	0078ef73	Section(1)['.rdata']	0a	A	BRendering
15132	0038f03c	0078f03c	Section(1)['.rdata']	09	A	profiled5
15133	0038f048	0078f048	Section(1)['.rdata']	0a	A	WindowSize
15134	0038f054	0078f054	Section(1)['.rdata']	06	A	Screen
15135	0038f05c	0078f05c	Section(1)['.rdata']	0e	A	FullscreenSize
15136	0038f06c	0078f06c	Section(1)['.rdata']	11	A	minShadingQuality
15137	0038f080	0078f080	Section(1)['.rdata']	07	A	Qaulity
15138	0038f088	0078f088	Section(1)['.rdata']	11	A	maxShadingQuality
15139	0038f09c	0078f09c	Section(1)['.rdata']	0d	A	minMeshDetail
15140	0038f0ac	0078f0ac	Section(1)['.rdata']	0d	A	maxMeshDetail
15141	0038f0bc	0078f0bc	Section(1)['.rdata']	0e	A	_AggregateSize
15142	0038f0cc	0078f0cc	Section(1)['.rdata']	0b	A	Performance
15143	0038f0d8	0078f0d8	Section(1)['.rdata']	07	A	shadows
15144	0038f0e0	0078f0e0	Section(1)['.rdata']	0f	A	delaySwapBuffer
15145	0038f0f0	0078f0f0	Section(1)['.rdata']	0b	A	profileName
15146	0038f0fc	0078f0fc	Section(1)['.rdata']	10	A	_office2007Theme
15147	0038f110	0078f110	Section(1)['.rdata']	05	A	Skins
15148	0038f118	0078f118	Section(1)['.rdata']	09	A	_skinFile
15149	0038f163	0078f163	Section(1)['.rdata']	05	A	TNsyC
15150	0038f172	0078f172	Section(1)['.rdata']	06	A	nchsGE
15151	0038f20d	0078f20d	Section(1)['.rdata']	06	A	cR0Mu
15152	0038f250	0078f250	Section(1)['.rdata']	0a	A	Error - %s
15153	0038f25c	0078f25c	Section(1)['.rdata']	07	A	%s - %s
15154	0038f264	0078f264	Section(1)['.rdata']	12	A	Error - HRESULT=%d
15155	0038f278	0078f278	Section(1)['.rdata']	0f	A	%s - HRESULT=%d
15156	0038f286	0078f286	Section(1)['.rdata']	27	U	d{A40F941A-3670-40DA-85B9-39A7F53511B9}
15157	0038f2d8	0078f2d8	Section(1)['.rdata']	06	A	ROBLOX
15158	0038f2e0	0078f2e0	Section(1)['.rdata']	0b	A	ROBLOX-ATOM
15159	0038f588	0078f588	Section(1)['.rdata']	0c	A	rundll32.exe
15160	0038f598	0078f598	Section(1)['.rdata']	1e	A	url.dll,FileProtocolHandler %s
15161	0038f5b8	0078f5b8	Section(1)['.rdata']	3f	A	http://www.robloxwiki.com/index.php?title=Developer_Environment
15162	0038f604	0078f604	Section(1)['.rdata']	27	A	CDocument::OnNewDocument returned FALSE
15163	0038f62c	0078f62c	Section(1)['.rdata']	0e	A	User cancelled
15164	0038f63c	0078f63c	Section(1)['.rdata']	1e	A	OpenDocumentFile returned NULL
15165	0038f65c	0078f65c	Section(1)['.rdata']	13	A	ROBLOX ExitInstance
15166	0038f678	0078f678	Section(1)['.rdata']	17	A	\Implemented Categories
15167	0038f690	0078f690	Section(1)['.rdata']	14	A	\Required Categories
15168	0038f6a8	0078f6a8	Section(1)['.rdata']	06	A	CLSID\
15169	0038f6d0	0078f6d0	Section(1)['.rdata']	05	U	APPID
15170	0038f6dc	0078f6dc	Section(1)['.rdata']	27	A	Uanble to find %AppData%\Roblox\content
15171	0038f704	0078f704	Section(1)['.rdata']	0f	A	Roblox\content\
15172	0038f714	0078f714	Section(1)['.rdata']	0d	A	ContentFolder
15173	0038f724	0078f724	Section(1)['.rdata']	0f	A	Software\Roblox
15174	0038f734	0078f734	Section(1)['.rdata']	07	A	BaseUrl
15175	0038f73c	0078f73c	Section(1)['.rdata']	11	A	SilentCrashReport
15176	0038f750	0078f750	Section(1)['.rdata']	10	A	\AppSettings.xml
15177	0038f764	0078f764	Section(1)['.rdata']	12	A	ROBLOX Corporation
15178	0038f794	0078f794	Section(1)['.rdata']	18	A	/Error/ReportDialog.aspx
15179	0038f7b0	0078f7b0	Section(1)['.rdata']	0f	A	/Error/Dmp.ashx
15180	0038f91c	0078f91c	Section(1)['.rdata']	06	A	Script
15181	0038f924	0078f924	Section(1)['.rdata']	07	A	Browser
15182	0038f950	0078f950	Section(1)['.rdata']	0b	A	CrashReport
15183	0038f95c	0078f95c	Section(1)['.rdata']	13	A	ROBLOX InitInstance
15184	0038f970	0078f970	Section(1)['.rdata']	1b	A	CRobloxControlColorSelector
15185	0038fbbd	0078fbbd	Section(1)['.rdata']	06	A	LLLLLK
15186	0038fbc4	0078fbc4	Section(1)['.rdata']	12	A	CRobloxDHtmlDialog
15187	0038fde8	0078fde8	Section(1)['.rdata']	0c	A	DialogResult
15188	0038fdf8	0078fdf8	Section(1)['.rdata']	0a	A	CRobloxDoc
15189	0038fe78	0078fe78	Section(1)['.rdata']	0b	A	ReportAbuse
15190	0038ff00	0078ff00	Section(1)['.rdata']	0d	A	InsertTexture
15191	003900f8	007900f8	Section(1)['.rdata']	10	A	/IDE/Upload.aspx
15192	003902f0	007902f0	Section(1)['.rdata']	11	A	/Game/Upload.aspx
15193	003904e8	007904e8	Section(1)['.rdata']	18	A	/UI/Save.aspx?type=Model
15194	00390514	00790514	Section(1)['.rdata']	1c	A	/AbuseReport/InGameChat.aspx
15195	00390534	00790534	Section(1)['.rdata']	06	A	t %.4g
15196	003906bc	007906bc	Section(1)['.rdata']	0b	A	DropperTool
15197	003906c8	007906c8	Section(1)['.rdata']	0d	A	SelectionDown
15198	003906d8	007906d8	Section(1)['.rdata']	10	A	SelectionUpPlate
15199	003906ec	007906ec	Section(1)['.rdata']	10	A	SelectionUpBrick
15200	00390700	00790700	Section(1)['.rdata']	0d	A	SelectionTilt
15201	00390710	00790710	Section(1)['.rdata']	0f	A	SelectionRotate
15202	00390720	00790720	Section(1)['.rdata']	0d	A	SnapSelection
15203	00390730	00790730	Section(1)['.rdata']	0d	A	WeldSelection
15204	00390740	00790740	Section(1)['.rdata']	07	A	UnGroup
15205	00390748	00790748	Section(1)['.rdata']	05	A	Group
15206	00390750	00790750	Section(1)['.rdata']	0b	A	InsertDecal
15207	00390778	00790778	Section(1)['.rdata']	07	A	%.3gfps
15208	00390780	00790780	Section(1)['.rdata']	26	A	Script heap %s (%d blocks), %d threads
15209	003907a8	007907a8	Section(1)['.rdata']	07	A	file://
15210	003907b8	007907b8	Section(1)['.rdata']	07	A	NoVisit
15211	00390ac8	00790ac8	Section(1)['.rdata']	15	A	CRobloxReportPaneView
15212	00390ae0	00790ae0	Section(1)['.rdata']	14	A	CRobloxReportDocView
15213	00390af8	00790af8	Section(1)['.rdata']	11	A	CRobloxReportView
15214	00390c60	00790c60	Section(1)['.rdata']	05	A	Value
15215	0039136c	0079136c	Section(1)['.rdata']	05	A	Stats
15216	0039173c	0079173c	Section(1)['.rdata']	0b	A	CRobloxView
15217	003917b8	007917b8	Section(1)['.rdata']	0d	A	ToggleToolbox
15218	003917f4	007917f4	Section(1)['.rdata']	0e	A	TogglePlayMode
15219	00391830	00791830	Section(1)['.rdata']	0c	A	LockPlayMode
15220	0039186c	0079186c	Section(1)['.rdata']	10	A	ToggleFullScreen
15221	003918d0	007918d0	Section(1)['.rdata']	0f	A	/Game/Help.aspx
15222	00391e60	00791e60	Section(1)['.rdata']	0b	A	WatchCamera
15223	00391e6c	00791e6c	Section(1)['.rdata']	0c	A	FollowCamera
15224	00391e7c	00791e7c	Section(1)['.rdata']	0b	A	TrackCamera
15225	00391e88	00791e88	Section(1)['.rdata']	0c	A	AttachCamera
15226	00391e98	00791e98	Section(1)['.rdata']	0b	A	FixedCamera
